DEV_1, 144974,	 0.016,	 0.008,	 1.002
DEV_1, 144984,	 0.016,	 0.006,	 1.000
DEV_1, 144994,	 0.016,	 0.007,	 1.003
DEV_1, 145004,	 0.014,	 0.006,	 1.002
DEV_1, 145014,	 0.016,	 0.005,	 1.000
DEV_1, 145024,	 0.018,	 0.004,	 0.998
DEV_1, 145034,	 0.015,	 0.006,	 1.001
DEV_1, 145044,	 0.018,	 0.005,	 0.999
DEV_1, 145054,	 0.017,	 0.005,	 1.000
DEV_1, 145064,	 0.018,	 0.004,	 1.002
DEV_1, 145074,	 0.017,	 0.004,	 1.004
DEV_1, 145084,	 0.017,	 0.004,	 0.998
DEV_1, 145094,	 0.017,	 0.004,	 1.000
DEV_1, 145104,	 0.019,	 0.002,	 1.000
DEV_1, 145114,	 0.018,	 0.005,	 1.001
DEV_1, 145124,	 0.017,	 0.004,	 1.001
DEV_1, 145134,	 0.018,	 0.007,	 1.003
DEV_1, 145144,	 0.019,	 0.007,	 1.002
DEV_1, 145154,	 0.018,	 0.008,	 1.004
DEV_1, 145164,	 0.019,	 0.006,	 0.996
DEV_1, 145174,	 0.016,	 0.005,	 1.004
DEV_1, 145184,	 0.016,	 0.007,	 0.999
DEV_1, 145194,	 0.016,	 0.007,	 1.000
DEV_1, 145204,	 0.015,	 0.007,	 0.997
DEV_1, 145214,	 0.015,	 0.007,	 1.004
DEV_1, 145224,	 0.017,	 0.003,	 0.999
DEV_1, 145234,	 0.017,	 0.005,	 1.002
DEV_1, 145244,	 0.016,	 0.005,	 1.000
